Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
Unknown,55+,Master’s,Retail,Unknown,High,30,126600,
Unemployed,18-24,PhD,Retail,Delhi,High,7,15700,
Employed,35-44,Unknown,Finance,Delhi,High,27,115700,
Employed,18-24,High School,Retail,Mumbai,Low,Unknown,18800,
Employed,45-54,Bachelor's,Technology,Urban,Low,Unknown,127400,
Employed,Unknown,PhD,Finance,Mumbai,High,26,21600,
Unemployed,45-54,Master’s,Healthcare,Delhi,Medium,6,42100,
Employed,25-34,Master’s,Education,Urban,Medium,28,137400,
Employed,25-34,High School,Healthcare,Bangalore,Low,Unknown,33200,
Unemployed,18-24,High School,Retail,Suburban,Unknown,Unknown,83000,
Unemployed,18-24,Master’s,Healthcare,Delhi,Low,24,126300,
Employed,25-34,PhD,Finance,Suburban,Unknown,Unknown,33200,2023-01-03
Unemployed,55+,Diploma,Retail,Suburban,Medium,Unknown,26300,2023-02-03
Unemployed,25-34,Master’s,Education,Mumbai,Low,24,78900,2023-03-03
Unemployed,18-24,Diploma,Fintech,Unknown,High,Unknown,51000,2023-04-03
Employed,18-24,PhD,Technology,Urban,Medium,Unknown,48900,2023-05-03
Unknown,45-54,Diploma,unknown,Urban,Medium,Unknown,113200,2023-06-03
Unemployed,18-24,Master’s,Technology,Rural,Medium,18,33200,2023-07-03
Unemployed,18-24,PhD,unknown,Unknown,Medium,Unknown,33200,2023-08-03
Unemployed,45-54,Bachelor's,Finance,Suburban,Medium,17,57200,2023-09-03
Employed,45-54,Diploma,Healthcare,Urban,Unknown,Unknown,84000,2023-10-03
Employed,25-34,Unknown,unknown,Rural,Low,Unknown,63700,2023-11-03
Unemployed,25-34,PhD,Retail,Bangalore,Low,Unknown,90500,2023-12-03
Employed,35-44,High School,Retail,Bangalore,Medium,15,33400,
Employed,25-34,PhD,Fintech,Bangalore,Low,12,33200,
Unemployed,45-54,Diploma,Fintech,Rural,High,20,130700,
Unemployed,18-24,High School,Retail,Delhi,Medium,Unknown,90000,
Unemployed,25-34,High School,unknown,Urban,Unknown,27,142200,
Unemployed,18-24,Master’s,Finance,Suburban,Low,Unknown,125800,
Employed,25-34,Bachelor's,Technology,Urban,Medium,Unknown,33200,
Unemployed,35-44,High School,Education,Mumbai,Unknown,Unknown,100200,
Unemployed,Unknown,Master’s,Technology,Suburban,Low,Unknown,140200,
Employed,25-34,Bachelor's,Education,Delhi,Low,Unknown,17900,
Employed,25-34,Bachelor's,Healthcare,Hyderabad,High,22,79100,
Unemployed,18-24,Master’s,Technology,Rural,Low,Unknown,33200,
Employed,18-24,High School,Healthcare,Suburban,Medium,4,46100,
Employed,25-34,Diploma,Finance,Mumbai,Unknown,26,120100,
Unknown,55+,Bachelor's,Technology,Bangalore,Medium,Unknown,135100,
Unemployed,55+,Bachelor's,Retail,Delhi,Low,Unknown,56300,
Unemployed,25-34,PhD,Retail,Suburban,High,Unknown,105400,
Unknown,55+,Bachelor's,Fintech,Delhi,Unknown,12,148700,
Employed,35-44,Unknown,Fintech,Hyderabad,Low,26,88400,
Employed,45-54,Diploma,Finance,Bangalore,High,16,124600,2023-01-04
Employed,35-44,Bachelor's,Fintech,Hyderabad,Medium,20,19000,2023-02-04
Employed,35-44,Master’s,Retail,Bangalore,High,21,66200,2023-03-04
Employed,Unknown,PhD,Education,Mumbai,High,Unknown,81600,2023-04-04
Unknown,25-34,High School,Healthcare,Urban,Low,Unknown,33200,2023-05-04
Unemployed,25-34,PhD,Fintech,Hyderabad,Low,26,33200,2023-06-04
Employed,25-34,Diploma,Healthcare,Hyderabad,Medium,Unknown,33200,2023-07-04
Employed,25-34,PhD,unknown,Urban,High,2,8900,2023-08-04
Unemployed,25-34,Diploma,Retail,Hyderabad,High,Unknown,124300,2023-09-04
Employed,45-54,PhD,Healthcare,Unknown,Low,12,141400,2023-10-04
Employed,18-24,PhD,Technology,Bangalore,Unknown,Unknown,50600,2023-11-04
Employed,45-54,Unknown,Technology,Delhi,Medium,25,76500,2023-12-04
Unemployed,25-34,High School,Retail,Mumbai,Medium,Unknown,33200,
Employed,Unknown,Diploma,Healthcare,Rural,Medium,Unknown,44200,
Employed,45-54,Bachelor's,Retail,Urban,High,0,137100,
Employed,18-24,Master’s,Healthcare,Urban,High,Unknown,33200,
Unemployed,25-34,Bachelor's,Healthcare,Urban,Low,16,73800,
Employed,25-34,Master’s,Retail,Urban,Low,Unknown,33200,
Employed,18-24,Diploma,Technology,Delhi,High,Unknown,40300,
Unknown,18-24,Master’s,Healthcare,Mumbai,Medium,26,25900,
Unknown,25-34,Unknown,Education,Unknown,High,5,68500,
Unemployed,35-44,PhD,Finance,Delhi,Low,28,44700,
Unemployed,18-24,PhD,Healthcare,Urban,High,10,20200,
Employed,25-34,Unknown,unknown,Urban,Medium,1,130200,
Employed,25-34,Master’s,Education,Suburban,Low,15,7600,
Unemployed,45-54,High School,Finance,Delhi,Low,Unknown,109500,
Employed,25-34,PhD,Retail,Urban,Low,Unknown,26900,
Employed,35-44,High School,Technology,Rural,Low,7,21000,
Unknown,25-34,Unknown,Finance,Urban,Medium,Unknown,5400,
Employed,18-24,PhD,unknown,Mumbai,High,Unknown,35200,
Employed,18-24,Master’s,Healthcare,Suburban,Medium,Unknown,33200,2023-01-05
Employed,45-54,PhD,Technology,Hyderabad,High,18,10500,2023-02-05
Unknown,45-54,High School,Healthcare,Urban,High,0,123100,2023-03-05
Employed,Unknown,High School,Technology,Mumbai,Medium,8,43400,2023-04-05
Employed,45-54,Unknown,Finance,Unknown,Medium,20,79000,2023-05-05
Employed,25-34,Diploma,Education,Urban,High,Unknown,125300,2023-06-05
Unemployed,25-34,PhD,Technology,Urban,Medium,23,11500,2023-07-05
Unemployed,55+,PhD,Technology,Unknown,Medium,Unknown,33200,2023-08-05
Employed,Unknown,High School,Healthcare,Bangalore,Low,6,33200,2023-09-05
Unemployed,35-44,High School,Retail,Hyderabad,Medium,Unknown,23500,2023-10-05
Unemployed,18-24,Bachelor's,Education,Delhi,Unknown,Unknown,54800,2023-11-05
Unknown,35-44,Bachelor's,Fintech,Unknown,Medium,Unknown,140000,2023-12-05
Unemployed,18-24,Master’s,Fintech,Urban,Low,Unknown,33200,
Unknown,45-54,High School,Retail,Urban,High,Unknown,110800,
Employed,25-34,Master’s,Finance,Suburban,Unknown,11,67000,
Employed,25-34,High School,Finance,Bangalore,Unknown,Unknown,109800,
Employed,45-54,PhD,Healthcare,Urban,Low,Unknown,33200,
Employed,18-24,Bachelor's,Retail,Bangalore,Unknown,18,33200,
Unemployed,35-44,Master’s,Retail,Mumbai,Medium,Unknown,65300,
Employed,35-44,High School,Technology,Urban,Low,Unknown,76500,
Employed,25-34,Unknown,Technology,Hyderabad,Low,5,141000,
Employed,18-24,Diploma,Healthcare,Delhi,High,Unknown,8000,
Unemployed,25-34,Unknown,Healthcare,Bangalore,Unknown,Unknown,52800,
Employed,25-34,Bachelor's,Education,Suburban,Unknown,Unknown,96300,
Employed,Unknown,Unknown,Retail,Bangalore,High,0,103700,
Employed,25-34,Bachelor's,Education,Rural,Low,Unknown,100700,
Unemployed,18-24,Master’s,Fintech,Urban,High,17,122200,
Unemployed,25-34,High School,Fintech,Unknown,Medium,Unknown,33200,
Employed,25-34,Unknown,Healthcare,Rural,Unknown,Unknown,22700,
Employed,18-24,PhD,Healthcare,Urban,Medium,28,33200,
Unemployed,18-24,Bachelor's,Technology,Bangalore,Medium,Unknown,89900,
Employed,18-24,Master’s,unknown,Delhi,Low,30,65200,2023-01-06
Employed,18-24,High School,Healthcare,Delhi,High,Unknown,33200,2023-02-06
Employed,25-34,Diploma,Retail,Hyderabad,High,Unknown,97100,2023-03-06
Unknown,18-24,High School,Education,Bangalore,Unknown,5,40400,2023-04-06
Employed,18-24,Master’s,Retail,Suburban,High,Unknown,102600,2023-05-06
Unemployed,55+,Master’s,Retail,Urban,High,Unknown,125900,2023-06-06
Unemployed,25-34,Unknown,Fintech,Bangalore,Unknown,5,135500,2023-07-06
Employed,55+,Master’s,Education,Rural,Medium,Unknown,33200,2023-08-06
Employed,25-34,Bachelor's,Education,Hyderabad,Unknown,0,22400,2023-09-06
Unemployed,45-54,Unknown,Healthcare,Unknown,Medium,Unknown,50000,2023-10-06
Employed,55+,Bachelor's,Healthcare,Urban,Unknown,Unknown,81200,2023-11-06
Employed,55+,Master’s,Retail,Unknown,High,Unknown,119200,2023-12-06
Employed,35-44,Diploma,Retail,Hyderabad,High,Unknown,106600,
Employed,18-24,Master’s,Healthcare,Mumbai,Medium,3,44700,
Unknown,25-34,Diploma,Education,Bangalore,Medium,19,37600,
Unemployed,18-24,Bachelor's,Healthcare,Hyderabad,High,Unknown,131300,
Employed,Unknown,PhD,Education,Suburban,Medium,Unknown,118300,
Employed,25-34,PhD,Retail,Urban,Low,Unknown,75300,
Unemployed,55+,Diploma,Technology,Unknown,High,19,53300,
Unemployed,18-24,Bachelor's,Healthcare,Urban,Low,Unknown,88400,
Unemployed,55+,Master’s,Education,Mumbai,Low,19,110800,
Unemployed,55+,Bachelor's,Education,Hyderabad,Low,28,115100,
Employed,25-34,Bachelor's,Education,Hyderabad,Unknown,9,11800,
Employed,55+,High School,Retail,Unknown,High,Unknown,41000,
Unemployed,35-44,PhD,Retail,Urban,High,23,16400,
Unemployed,Unknown,Master’s,Technology,Hyderabad,Low,18,80100,
Unemployed,25-34,High School,Retail,Urban,Unknown,26,33200,
Unemployed,45-54,Unknown,Retail,Urban,High,Unknown,21200,
Unemployed,18-24,High School,Technology,Urban,Low,Unknown,12500,
Unemployed,45-54,PhD,Retail,Suburban,High,Unknown,70700,
Unemployed,18-24,High School,Retail,Suburban,Low,29,96000,2023-01-07
Employed,18-24,Master’s,Healthcare,Suburban,Low,Unknown,123200,2023-02-07
Employed,25-34,Master’s,unknown,Suburban,Unknown,Unknown,33200,2023-03-07
Unemployed,35-44,PhD,Healthcare,Urban,Medium,5,54200,2023-04-07
Unemployed,55+,Master’s,Healthcare,Suburban,Medium,Unknown,24000,2023-05-07
Unemployed,55+,Bachelor's,Healthcare,Rural,Unknown,Unknown,65100,2023-06-07
Unknown,25-34,Master’s,unknown,Suburban,High,Unknown,85900,2023-07-07
Unknown,Unknown,Bachelor's,Healthcare,Suburban,High,Unknown,67000,2023-08-07
Unemployed,55+,Bachelor's,Finance,Mumbai,Medium,Unknown,114100,2023-09-07
Employed,25-34,High School,Education,Mumbai,Medium,Unknown,30100,2023-10-07
Unemployed,Unknown,Bachelor's,Technology,Bangalore,Low,17,139100,2023-11-07
Unemployed,Unknown,High School,Retail,Rural,High,Unknown,140500,2023-12-07
Unemployed,18-24,Bachelor's,Healthcare,Hyderabad,Low,Unknown,60500,
Employed,18-24,High School,Technology,Delhi,Low,Unknown,58000,
Employed,Unknown,Diploma,Finance,Mumbai,Medium,24,118200,
Employed,18-24,High School,Technology,Mumbai,High,29,77200,
Employed,45-54,Bachelor's,Finance,Urban,High,24,96400,
Employed,25-34,Bachelor's,Technology,Suburban,Medium,14,33200,
Unemployed,18-24,Master’s,Retail,Delhi,High,Unknown,33200,
Employed,55+,Diploma,Education,Urban,Low,Unknown,116300,
Employed,45-54,Bachelor's,Retail,Unknown,Medium,29,33200,
Employed,18-24,Unknown,Education,Mumbai,Medium,Unknown,66400,
Unknown,25-34,Diploma,Fintech,Mumbai,Medium,13,32900,
Unemployed,35-44,Unknown,Healthcare,Urban,Medium,Unknown,125900,
Employed,18-24,Unknown,unknown,Urban,Medium,22,82700,
Unknown,55+,Bachelor's,Retail,Bangalore,High,6,33200,
Unemployed,35-44,Unknown,unknown,Rural,Unknown,28,102300,
Employed,25-34,PhD,Healthcare,Delhi,High,Unknown,121300,
Unknown,18-24,PhD,Education,Unknown,Low,20,64500,
Unemployed,25-34,Diploma,Retail,Urban,Low,Unknown,75200,
Unemployed,45-54,Bachelor's,Healthcare,Rural,Medium,11,74200,
Unemployed,55+,Master’s,Technology,Suburban,Medium,18,127100,2023-01-08
Employed,25-34,High School,Education,Rural,High,14,68600,2023-02-08
Employed,25-34,Diploma,Healthcare,Delhi,Unknown,Unknown,33200,2023-03-08
Unknown,25-34,PhD,Technology,Mumbai,Unknown,Unknown,37700,2023-04-08
Employed,35-44,Bachelor's,Healthcare,Delhi,Low,Unknown,76000,2023-05-08
Employed,Unknown,PhD,Education,Delhi,High,24,33200,2023-06-08
Employed,55+,PhD,Education,Hyderabad,High,21,31500,2023-07-08
Unemployed,25-34,Bachelor's,Healthcare,Rural,Low,Unknown,126700,2023-08-08
Unemployed,55+,PhD,Finance,Hyderabad,Unknown,0,33200,2023-09-08
Unknown,35-44,Diploma,Technology,Mumbai,Low,13,6500,2023-10-08
Unknown,45-54,Bachelor's,Retail,Hyderabad,High,Unknown,45500,2023-11-08
Employed,18-24,Bachelor's,Retail,Hyderabad,Medium,20,22300,2023-12-08
Unknown,18-24,Unknown,Technology,Urban,High,Unknown,6500,
Unemployed,45-54,High School,Healthcare,Urban,High,Unknown,33200,
Employed,25-34,Master’s,Technology,Hyderabad,High,27,33200,
Unemployed,Unknown,Unknown,Retail,Urban,High,22,107400,
Unemployed,Unknown,Bachelor's,Technology,Bangalore,Low,Unknown,83800,
Unemployed,18-24,High School,Retail,Delhi,High,25,70400,
Employed,25-34,PhD,Technology,Hyderabad,Low,2,105700,
Unemployed,35-44,Diploma,unknown,Mumbai,Medium,10,11300,
Employed,25-34,High School,Education,Unknown,Medium,Unknown,33200,
Unemployed,45-54,Unknown,Healthcare,Urban,High,22,33200,
Unemployed,18-24,Bachelor's,Finance,Delhi,High,7,17600,
Unemployed,Unknown,Master’s,Retail,Urban,Medium,Unknown,8000,
Employed,Unknown,Master’s,Finance,Delhi,High,29,33200,
Employed,45-54,Unknown,Education,Mumbai,Low,28,7100,
Unemployed,18-24,PhD,Technology,Unknown,Low,27,35500,
Unemployed,45-54,PhD,Finance,Unknown,Low,0,96600,
Employed,45-54,PhD,Technology,Unknown,High,Unknown,136200,
Employed,Unknown,Master’s,Healthcare,Unknown,High,15,35100,
Unemployed,Unknown,Bachelor's,Education,Mumbai,High,Unknown,39900,
Employed,Unknown,Diploma,Retail,Bangalore,High,Unknown,77600,2023-01-09
Unknown,18-24,Master’s,Retail,Delhi,Unknown,7,15000,2023-02-09
Unknown,18-24,Bachelor's,Healthcare,Urban,Low,Unknown,92500,2023-03-09
Unemployed,25-34,Master’s,Healthcare,Rural,High,Unknown,106800,2023-04-09
Unemployed,18-24,Bachelor's,Technology,Urban,Medium,Unknown,79900,2023-05-09
Unknown,25-34,Bachelor's,Fintech,Bangalore,Medium,Unknown,125300,2023-06-09
Unemployed,25-34,Bachelor's,Fintech,Hyderabad,High,Unknown,33200,2023-07-09
Unemployed,25-34,Master’s,Technology,Hyderabad,Medium,23,102200,2023-08-09
Employed,45-54,Bachelor's,unknown,Urban,High,Unknown,82300,2023-09-09
Employed,25-34,PhD,Healthcare,Mumbai,Low,23,102800,2023-10-09
Employed,18-24,Unknown,Education,Suburban,High,17,84100,2023-11-09
Employed,18-24,Master’s,Healthcare,Hyderabad,Low,6,68500,2023-12-09
Unemployed,Unknown,High School,Fintech,Hyderabad,Medium,Unknown,33200,
Unknown,18-24,Bachelor's,Technology,Suburban,Medium,1,126900,
Employed,Unknown,High School,unknown,Urban,Medium,6,120300,
Employed,18-24,Master’s,Technology,Urban,Low,Unknown,37000,
Employed,25-34,PhD,Retail,Bangalore,High,Unknown,119400,
Employed,18-24,PhD,Healthcare,Rural,Unknown,30,144200,
Employed,Unknown,Bachelor's,Finance,Unknown,Medium,29,37500,
Employed,35-44,Diploma,Healthcare,Unknown,Medium,Unknown,26100,
Unemployed,35-44,Master’s,Finance,Unknown,Unknown,3,104000,
Employed,45-54,High School,Education,Bangalore,High,6,66200,
Unemployed,18-24,Diploma,Fintech,Unknown,Medium,8,106700,
Unemployed,55+,Bachelor's,Fintech,Hyderabad,Medium,5,88000,
Employed,25-34,Bachelor's,Technology,Hyderabad,High,26,103000,
Employed,18-24,PhD,unknown,Suburban,High,13,114200,
Employed,25-34,PhD,Retail,Suburban,Low,Unknown,8900,
Unknown,45-54,PhD,Healthcare,Rural,Medium,Unknown,44300,
Unknown,Unknown,PhD,Technology,Unknown,Low,Unknown,104400,
Unemployed,45-54,PhD,Retail,Unknown,High,0,33200,
Employed,Unknown,Diploma,Retail,Urban,Unknown,14,129800,2023-01-10
Unknown,25-34,Bachelor's,Retail,Mumbai,High,Unknown,66100,2023-02-10
Employed,18-24,Bachelor's,Finance,Bangalore,Low,Unknown,114500,2023-03-10
Unemployed,18-24,High School,Retail,Mumbai,Low,Unknown,112900,2023-04-10
Employed,18-24,PhD,unknown,Mumbai,Low,3,88300,2023-05-10
Employed,18-24,Bachelor's,Retail,Rural,High,Unknown,34400,2023-06-10
Employed,25-34,High School,Retail,Delhi,Low,26,144200,2023-07-10
Employed,45-54,Bachelor's,Technology,Suburban,Low,Unknown,8700,2023-08-10
Unemployed,18-24,Master’s,Technology,Urban,Medium,Unknown,13900,2023-09-10
Unemployed,18-24,Unknown,Healthcare,Unknown,Low,4,33200,2023-10-10
Unemployed,25-34,High School,Fintech,Mumbai,Unknown,Unknown,33200,2023-11-10
Employed,18-24,Bachelor's,Fintech,Urban,High,17,78200,2023-12-10
Unemployed,45-54,Diploma,Technology,Bangalore,High,Unknown,135100,2023-13-10
Unemployed,18-24,Bachelor's,Education,Urban,Medium,Unknown,33200,2023-14-10
Employed,35-44,PhD,unknown,Suburban,Low,Unknown,33200,2023-15-10
Employed,55+,PhD,Fintech,Suburban,Medium,7,109300,2023-16-10
Unemployed,25-34,Diploma,unknown,Delhi,High,Unknown,57800,2023-17-10
Employed,25-34,Master’s,unknown,Mumbai,High,Unknown,33200,2023-18-10
Unknown,18-24,Bachelor's,Healthcare,Unknown,High,Unknown,113000,2023-19-10
Employed,25-34,Bachelor's,Retail,Delhi,High,Unknown,32100,2023-20-10
Unemployed,18-24,High School,Fintech,Mumbai,Low,3,12600,2023-21-10
Employed,25-34,Diploma,Retail,Hyderabad,High,Unknown,71800,2023-22-10
Unemployed,25-34,PhD,Technology,Hyderabad,Low,22,33200,2023-23-10
Employed,25-34,PhD,Technology,Urban,Medium,Unknown,101500,2023-24-10
Employed,25-34,Master’s,Healthcare,Bangalore,Unknown,30,30500,2023-25-10
Unknown,18-24,Bachelor's,Healthcare,Suburban,Low,12,78300,2023-26-10
Unemployed,18-24,Master’s,unknown,Urban,High,24,98200,2023-27-10
Employed,45-54,Bachelor's,Education,Suburban,Unknown,22,105000,2023-28-10
Unemployed,25-34,PhD,Healthcare,Urban,High,21,141700,2023-29-10
Employed,35-44,Bachelor's,Fintech,Suburban,Unknown,Unknown,146900,2023-30-10
Employed,55+,Bachelor's,Retail,Urban,Medium,Unknown,22100,2023-31-10
Unknown,45-54,High School,Healthcare,Hyderabad,Unknown,13,83800,2023-01-11
Unemployed,18-24,PhD,unknown,Delhi,Medium,Unknown,133600,2023-02-11
Employed,18-24,High School,Retail,Rural,Low,15,102800,2023-03-11
Employed,45-54,PhD,Finance,Urban,High,25,89300,2023-04-11
Unemployed,25-34,Master’s,Healthcare,Urban,Low,Unknown,61200,2023-05-11
Unemployed,18-24,Bachelor's,Technology,Delhi,Unknown,2,108300,2023-06-11
Unemployed,25-34,High School,unknown,Urban,High,Unknown,128500,2023-07-11
Employed,18-24,PhD,unknown,Urban,High,Unknown,117600,2023-08-11
Employed,25-34,High School,Retail,Rural,Medium,Unknown,21400,2023-09-11
Unemployed,35-44,Unknown,Technology,Urban,Low,6,137300,2023-10-11
Unemployed,55+,PhD,Fintech,Bangalore,Low,Unknown,62300,2023-11-11
Employed,18-24,High School,Healthcare,Mumbai,Unknown,15,88500,2023-12-11
Unemployed,Unknown,High School,Education,Unknown,Low,Unknown,33200,2023-13-11
Unemployed,25-34,PhD,Fintech,Hyderabad,Low,23,141200,2023-14-11
Unemployed,18-24,Master’s,Finance,Unknown,Low,Unknown,142300,2023-15-11
Unknown,25-34,PhD,Education,Mumbai,Low,1,115000,2023-16-11
Unemployed,55+,Master’s,Technology,Bangalore,High,21,33200,2023-17-11
Employed,45-54,PhD,Fintech,Suburban,Medium,0,89600,2023-18-11
Unemployed,35-44,Master’s,Education,Suburban,Medium,0,42700,2023-19-11
Employed,25-34,Bachelor's,Education,Mumbai,Low,18,33200,2023-20-11
Employed,55+,Master’s,Fintech,Rural,Medium,25,38000,2023-21-11
Unemployed,18-24,High School,Healthcare,Delhi,Medium,20,39800,2023-22-11
Unknown,45-54,Unknown,unknown,Hyderabad,Medium,1,31000,2023-23-11
Employed,35-44,Bachelor's,Fintech,Unknown,High,12,61500,2023-24-11
Employed,35-44,Master’s,unknown,Suburban,Medium,28,56800,2023-25-11
Employed,35-44,PhD,Healthcare,Suburban,Unknown,7,15900,2023-26-11
Unemployed,55+,Diploma,Retail,Urban,Medium,20,96600,2023-27-11
Unemployed,55+,Diploma,Technology,Delhi,High,Unknown,33200,2023-28-11
Unemployed,25-34,PhD,Healthcare,Bangalore,Unknown,Unknown,96100,2023-29-11
Employed,35-44,Diploma,unknown,Rural,High,Unknown,33200,2023-30-11
Employed,18-24,Bachelor's,Finance,Bangalore,Unknown,26,72400,2023-01-12
Unemployed,55+,PhD,unknown,Delhi,Medium,Unknown,143000,2023-02-12
Employed,35-44,Master’s,Healthcare,Hyderabad,High,Unknown,35700,2023-03-12
Unknown,Unknown,Bachelor's,unknown,Suburban,High,9,33200,2023-04-12
Unemployed,18-24,Unknown,Retail,Urban,Unknown,13,8700,2023-05-12
Unknown,25-34,Diploma,Technology,Unknown,High,22,141800,2023-06-12
Unemployed,35-44,Unknown,Healthcare,Urban,Low,Unknown,21500,2023-07-12
Unemployed,35-44,High School,Finance,Unknown,Medium,4,126000,2023-08-12
Employed,Unknown,PhD,Healthcare,Hyderabad,Medium,Unknown,33200,2023-09-12
Employed,25-34,Master’s,unknown,Unknown,Medium,Unknown,92700,2023-10-12
Unemployed,25-34,PhD,Retail,Urban,Medium,Unknown,33200,2023-11-12
Unemployed,25-34,Master’s,Fintech,Delhi,High,Unknown,139900,2023-12-12
Employed,55+,PhD,Retail,Urban,High,Unknown,26900,2023-13-12
Unemployed,18-24,Master’s,Technology,Mumbai,Low,16,33200,2023-14-12
Employed,25-34,Bachelor's,unknown,Urban,High,3,5400,2023-15-12
Unemployed,55+,High School,Finance,Unknown,Low,Unknown,81100,2023-16-12
Unemployed,55+,Bachelor's,Education,Mumbai,Medium,16,33200,2023-17-12
Unemployed,45-54,Unknown,Retail,Bangalore,High,14,139700,2023-18-12
Unemployed,45-54,Bachelor's,Fintech,Suburban,Low,Unknown,112900,2023-19-12
Employed,55+,Master’s,unknown,Mumbai,Medium,30,109900,2023-20-12
Employed,18-24,High School,Finance,Suburban,Medium,Unknown,112400,2023-21-12
Employed,Unknown,Bachelor's,unknown,Suburban,Medium,26,108300,2023-22-12
Employed,18-24,PhD,Education,Delhi,High,Unknown,71400,2023-23-12
Unemployed,Unknown,Bachelor's,Education,Urban,Medium,Unknown,17600,2023-24-12
Unemployed,18-24,Master’s,Education,Suburban,Low,10,51000,2023-25-12
Unemployed,25-34,High School,Finance,Delhi,High,Unknown,109800,2023-26-12
Unemployed,18-24,Master’s,Finance,Mumbai,High,Unknown,111300,2023-27-12
Unknown,18-24,Master’s,Education,Unknown,Medium,22,92900,2023-28-12
Unknown,55+,Unknown,Technology,Urban,High,24,28100,2023-29-12
Employed,35-44,Bachelor's,Education,Suburban,Low,16,100400,2023-30-12
Employed,45-54,PhD,Finance,Suburban,Unknown,30,33200,2023-31-12
Employed,25-34,Bachelor's,Retail,Bangalore,Low,Unknown,138600,2024-01-01
Unemployed,25-34,High School,Healthcare,Hyderabad,Medium,11,33200,2024-02-01
Unknown,18-24,Bachelor's,Healthcare,Delhi,Medium,30,40100,2024-03-01
Employed,55+,Bachelor's,Healthcare,Delhi,Medium,Unknown,104800,2024-04-01
Unemployed,35-44,Master’s,unknown,Bangalore,Low,7,95700,2024-05-01
Unknown,Unknown,High School,Finance,Hyderabad,Unknown,Unknown,36700,2024-06-01
